"Subject"	"Q1.a"	"Q1.b"	"Q1.c"	"Q1.d"	"Q1.e"	"Q2.a"	"Q2.b"	"Q2.c"	"Q2.d"	"Q2.e"	"Q2.f"	"Q2.g"	"Q2.h"	"Suspected"	"Game.affect.distraction"	"Surprise"	"Station"	"Condition"	"Game.1"	"Game.2"	"Game.3"	"Game.4"	"Game.5"	"Game.6"	"RA"	"goodSession"	"Assignment"	"irritated"	"happy"	"angered"	"helpful"	"pleased"	"annoyed"	"easy.nav"	"excited"	"engaged"	"challenging"	"stressful"	"violence"	"diff.nav"	"reflexes"	"satisfying"	"effective"	"difficult"	"good.fight"	"hard.control"	"mental.effort"	"comfort.control"	"exhausting"	"aggressed"	"enjoyed"	"often.played"	"FPS.experience"	"FPS.skill"	"mkb.experience"	"vg.freq"	"vg.cumul"	"age"	"race"	"race2"	"year"	"GPA"	"knew.others"	"knew.partner"	"gender"	"rating1"	"rating2"	"rating3"	"rating4"	"rating5"	"rating6"	"L_ring_length"	"L_ring_angle"	"L_index_length"	"L_index_angle"	"R_index_length"	"R_index_angle"	"R_ring_length"	"R_ring_angle"	"DV"	"Violence"	"Difficulty"	"L2d4d"	"R2d4d"
326	1	1	0	0	0	0	0	0	0	0	0	0	0	4	"No"	"No"	4	2	2	418	11	1674	104	92	"RP"	"Yes"	7	6	1	4	1	1	5	7	5	5	3	1	4	1	2	4	6	3	5	3	2	7	1	4	5	6	7	7	6	6	7	18	5	NA	1	3.9	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	937.2	87.155	912	77.395	883.15	80.685	932.7	87.88	7	"Violent"	"Hard"	0.973111395646607	0.946874664951217
327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	0	78	14	211	21	0	"HG"	"Yes"	8	6	1	5	1	1	6	6	3	2	1	2	1	3	3	6	7	2	1	2	2	5	2	4	4	3	6	6	5	4	6	22	6	NA	3	2.99	"No"	"No"	"Male"	NA	NA	NA	NA	NA	NA	903.4	88.41	843	89.625	838	89.69	880.05	89.545	8	"Less Violent"	"Easy"	0.933141465574496	0.952218623941822
331	0	1	0	0	0	1	0	0	0	0	0	0	0	4	"No"	"No"	4	3	0	462	15	115	225	0	"EW"	"Yes"	8	7	1	6	1	1	7	7	7	6	1	1	1	1	1	7	7	4	1	2	1	7	1	3	7	4	7	7	6	5	6	19	5	NA	1	4	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	976	85.97	885.75	85.075	886.05	84.2	959.95	86.865	8	"Less Violent"	"Easy"	0.907530737704918	0.923016823792906
332	1	0	1	1	0	1	0	1	0	1	1	1	0	4	"Maybe"	"Maybe"	1	4	3	285	3	953	93	99	"AS"	NA	3	7	1	7	1	1	7	6	6	7	4	4	3	2	3	5	4	5	6	2	3	7	5	5	6	3	5	4	2	1	4	19	5	NA	2	3	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	939.9	83.865	861.15	86.04	854.15	89.09	922.55	80.355	3	"Less Violent"	"Hard"	0.916214490903288	0.925857677090673
333	0	0	0	0	1	1	0	0	0	0	0	0	0	4	"No"	"No"	2	1	0	469	16	627	284	0	"HG"	"Yes"	4	5	3	1	4	4	4	6	1	1	1	1	5	1	1	4	5	1	1	1	1	7	1	1	1	1	7	7	1	1	1	18	5	NA	1	3.8	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	903.75	88.665	843.9	81	871.6	89.245	925.1	79.16	4	"Violent"	"Easy"	0.933775933609958	0.942168414225489
336	0	1	0	0	0	0	0	0	0	0	1	0	0	2	"No"	"Maybe"	4	4	0	380	12	1502	113	73	"EW"	"Yes"	4	2	4	1	4	4	4	7	4	6	5	1	3	1	3	5	5	3	5	3	3	5	1	1	5	3	5	5	5	5	6	20	5	NA	3	3.06	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	811.75	87	801.4	83.11	811.95	82.285	814.9	88.73	4	"Less Violent"	"Hard"	0.987249769017555	0.996379923917045
337	0	1	0	0	0	1	0	0	0	0	0	0	1	1	"No"	"Yes"	1	1	0	338	17	629	202	0	"AS"	"Yes"	3	5	3	4	3	5	4	7	6	6	2	2	6	1	4	5	5	2	2	4	3	6	3	4	5	5	6	5	5	6	6	18	5	NA	1	3.9	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	1002	82.575	952.15	87.955	936.5	87.34	989.7	83.59	3	"Violent"	"Easy"	0.950249500998004	0.946246337273921
338	0	0	1	0	0	1	1	0	0	0	1	0	0	2	"Yes"	"Yes"	4	2	3	363	6	1113	127	110	"EW"	"Yes"	9	3	6	3	6	7	1	6	6	6	5	6	5	2	5	5	6	2	2	2	2	7	3	5	5	3	3	5	5	3	5	18	5	NA	1	3.8	"Yes"	"No"	"M"	NA	NA	NA	NA	NA	NA	966.1	80.56	885.2	89.095	876.65	84.435	943.65	87.995	9	"Violent"	"Hard"	0.916261256598696	0.928999099242304
339	0	0	1	0	0	1	0	0	1	0	1	0	0	1	"No"	"Yes"	1	3	0	443	17	1443	181	0	"AS"	"Yes"	9	7	1	5	1	1	7	6	4	4	1	5	6	2	2	5	5	3	1	1	3	6	6	4	2	4	6	6	3	5	5	18	5	NA	1	3.9	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	941.4	83.105	900.05	87.26	908.85	88.36	924.1	80.005	9	"Less Violent"	"Easy"	0.956076056936478	0.983497456985175
342	0	0	1	0	0	0	0	0	0	0	1	0	0	3	"No"	"Yes"	4	2	0	336	10	1268	84	63	"EW"	"Maybe"	7	7	1	5	1	2	4	7	4	5	2	2	6	2	4	4	5	2	2	2	1	6	2	5	4	6	7	7	7	7	7	19	5	NA	1	3.9	"No"	"No"	"M"	NA	NA	NA	NA	NA	NA	915.5	89.715	821.55	81.985	846.5	82.91	923.05	89.35	7	"Violent"	"Hard"	0.897378481703987	0.917068414495423
