"Subno"	"L2d4d"	"R2d4d"	"L_ring_length"	"L_ring_angle"	"L_index_length"	"L_index_angle"	"R_index_length"	"R_index_angle"	"R_ring_length"	"R_ring_angle"	"nCoders"	"julNotes"	"racNotes"	"tayNotes"
401	0.991356855316126	0.992307692307692	844.6	82.31	837.3	88.43	812.7	83.22	819	87.2	1	NA	NA	NA
402	0.980320855614973	1.03293964676563	935	89.75	916.6	82.16	953.3	86.99	922.9	84.09	1	NA	NA	NA
403	1.0160863583448	1.02518676627535	944.9	84.17	960.1	89.05	960.6	86.66	937	87.37	1	NA	NA	NA
404	0.958814851241702	0.943306336350643	813.4	86.69	779.9	77.71	792	83.55	839.6	87.82	1	NA	NA	NA
405	0.953049482163406	0.910994178235558	869	86.11	828.2	80.55	813.7	83.86	893.2	88.78	1	NA	NA	NA
406	0.885582998276852	0.909904805077063	870.5	88.16	770.9	79.91	802.9	87.22	882.4	80.01	1	NA	NA	NA
407	0.925279587071402	0.945594249597224	813.7	77.36	752.9	87.18	763	89.62	806.9	80.15	1	NA	NA	NA
408	0.965546485741546	0.988966126006841	943.3	81.96	910.8	86.41	896.3	88.53	906.3	85.13	1	NA	NA	NA
409	0.981320368474923	0.981296101159115	781.6	82.57	767	89.78	745	89.38	759.2	83.27	1	NA	NA	NA
410	0.980392156862745	1.00636658103429	923.1	86.15	905	89.62	901	89.94	895.3	88.4	1	NA	NA	NA
411	0.929527019909407	0.973675693170784	949.3	83.41	882.4	88.83	902.5	88.16	926.9	80.06	1	NA	NA	NA
412	0.950235064786148	0.933043378734119	872.1	83.81	828.7	86.33	815.2	84.16	873.7	82.37	1	NA	NA	NA
413	0.972062885064797	0.982395087001024	941.4	81.88	915.1	89.12	959.8	86.48	977	85.48	1	NA	NA	NA
414	0.969161985555428	0.973131918819188	872.3	86.85	845.4	85.66	843.9	87.28	867.2	86.96	1	NA	NA	NA
415	0.968101505988379	0.966614249425426	843.3	81.96	816.4	88.18	799.1	85.84	826.7	86.32	1	NA	NA	NA
416	0.98978622327791	1.00914120760164	842	89.86	833.4	84.84	839	89.73	831.4	82.88	1	NA	NA	NA
417	0.963328919221758	0.964425251902118	981.7	87.78	945.7	75.61	938	84.06	972.6	84.45	1	NA	NA	NA
418	0.922126582278481	0.949432941421288	987.5	88.26	910.6	87.99	912.5	88.05	961.1	84.69	1	NA	NA	NA
419	0.921676329976605	0.91725387557882	983.1	87.32	906.1	83.35	911.2	88.81	993.4	87	1	NA	NA	NA
420	0.956844930827999	0.940047712892853	968.6	83.84	926.8	85.54	906.3	83.22	964.1	89.29	1	NA	NA	NA
421	0.939454870420018	0.959116647791619	895.2	80.55	841	89.59	846.9	87.43	883	78.1	1	NA	NA	NA
422	0.997846117027641	0.98148803207169	835.7	86.3	833.9	87.39	832.4	88.21	848.1	84.38	1	NA	NA	NA
423	0.994808004326663	0.963279622931053	924.5	82.23	919.7	86.51	878.8	85.43	912.3	81.36	1	NA	NA	NA
424	0.951616333475117	0.940489189779428	940.4	80.33	894.9	87.44	861.3	88.4	915.8	85.55	1	NA	NA	NA
